_id,avg_pm10
"{'city': 'Rotterdam', 'day': '2016-02-05'}",31.043945580884742
"{'city': 'Rotterdam', 'day': '2016-02-06'}",17.806597222222223
"{'city': 'Rotterdam', 'day': '2016-02-07'}",12.10729166666667
"{'city': 'Rotterdam', 'day': '2022-10-24'}",2.2
"{'city': 'Rotterdam', 'day': '2022-10-25'}",11.1
"{'city': 'Rotterdam', 'day': '2022-10-26'}",12.357142857142858
"{'city': 'Rotterdam', 'day': '2022-10-27'}",10.05
"{'city': 'Rotterdam', 'day': '2022-10-28'}",4.15
"{'city': 'Rotterdam', 'day': '2022-10-29'}",8.666666666666666
"{'city': 'Rotterdam', 'day': '2022-10-30'}",15.5
"{'city': 'Rotterdam', 'day': '2022-10-31'}",8.7
"{'city': 'Rotterdam', 'day': '2022-11-01'}",2.4000000000000004
"{'city': 'Rotterdam', 'day': '2022-11-02'}",4.55
"{'city': 'Rotterdam', 'day': '2022-11-03'}",5.216666666666666
"{'city': 'Rotterdam', 'day': '2022-11-04'}",31.125
"{'city': 'Rotterdam', 'day': '2022-11-06'}",2.1666666666666665
"{'city': 'Rotterdam', 'day': '2022-11-07'}",3.1333333333333333
"{'city': 'Rotterdam', 'day': '2022-11-08'}",10.2
"{'city': 'Rotterdam', 'day': '2022-11-09'}",4.333333333333333
"{'city': 'Rotterdam', 'day': '2022-11-10'}",11.9
"{'city': 'Rotterdam', 'day': '2022-11-12'}",56.73333333333333
"{'city': 'Rotterdam', 'day': '2022-11-13'}",26.614285714285717
"{'city': 'Rotterdam', 'day': '2022-11-14'}",25.700000000000003
"{'city': 'Rotterdam', 'day': '2022-11-16'}",9.700000000000001
"{'city': 'Rotterdam', 'day': '2022-11-17'}",4.816666666666666
"{'city': 'Rotterdam', 'day': '2022-11-18'}",11.95
"{'city': 'Rotterdam', 'day': '2022-11-19'}",0.7
"{'city': 'Rotterdam', 'day': '2022-11-21'}",10.2
"{'city': 'Rotterdam', 'day': '2022-11-22'}",9.899999999999999
"{'city': 'Rotterdam', 'day': '2022-11-24'}",11.350000000000001
"{'city': 'Rotterdam', 'day': '2022-11-25'}",27.2
"{'city': 'Rotterdam', 'day': '2022-11-26'}",13.633333333333333
"{'city': 'Rotterdam', 'day': '2022-11-27'}",2.45
"{'city': 'Rotterdam', 'day': '2022-11-28'}",1.4
"{'city': 'Rotterdam', 'day': '2022-11-29'}",239.75
"{'city': 'Rotterdam', 'day': '2022-11-30'}",53.8
"{'city': 'Rotterdam', 'day': '2022-12-01'}",11.4
"{'city': 'Rotterdam', 'day': '2022-12-02'}",1.5
"{'city': 'Rotterdam', 'day': '2022-12-03'}",0.8666666666666666
"{'city': 'Rotterdam', 'day': '2022-12-04'}",2.75
"{'city': 'Rotterdam', 'day': '2022-12-06'}",51.73333333333334
"{'city': 'Rotterdam', 'day': '2022-12-07'}",35.43333333333334
"{'city': 'Rotterdam', 'day': '2022-12-08'}",44.9
"{'city': 'Rotterdam', 'day': '2022-12-09'}",34.05
"{'city': 'Rotterdam', 'day': '2022-12-10'}",18.1
"{'city': 'Rotterdam', 'day': '2022-12-12'}",68.66666666666667
"{'city': 'Rotterdam', 'day': '2022-12-13'}",32.9
"{'city': 'Rotterdam', 'day': '2022-12-14'}",5.2
"{'city': 'Rotterdam', 'day': '2022-12-16'}",102.39999999999999
"{'city': 'Rotterdam', 'day': '2022-12-17'}",33.36666666666667
"{'city': 'Rotterdam', 'day': '2022-12-18'}",6.275
"{'city': 'Rotterdam', 'day': '2022-12-19'}",2.55
"{'city': 'Rotterdam', 'day': '2022-12-20'}",10.45
"{'city': 'Rotterdam', 'day': '2022-12-21'}",15.6
"{'city': 'Rotterdam', 'day': '2022-12-22'}",29.0
"{'city': 'Rotterdam', 'day': '2022-12-24'}",6.7
"{'city': 'Rotterdam', 'day': '2022-12-25'}",11.149999999999999
"{'city': 'Rotterdam', 'day': '2022-12-26'}",2.65
"{'city': 'Rotterdam', 'day': '2022-12-27'}",5.9
"{'city': 'Rotterdam', 'day': '2022-12-28'}",0.5
"{'city': 'Rotterdam', 'day': '2022-12-29'}",6.1
"{'city': 'Rotterdam', 'day': '2022-12-30'}",3.84
"{'city': 'Rotterdam', 'day': '2022-12-31'}",3.7
"{'city': 'Rotterdam', 'day': '2023-01-01'}",2.25
"{'city': 'Rotterdam', 'day': '2023-01-02'}",8.8
"{'city': 'Rotterdam', 'day': '2023-01-03'}",17.0
"{'city': 'Santiago', 'day': '2016-01-30'}",66.00118260869566
