_id,max_value,count
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 19'}",4300.0,6
"{'city': 'Amgalan', 'hour': '2016-01-30 17'}",4259.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 10'}",4254.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 18'}",4249.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 14'}",4240.0,2
"{'city': 'MNB', 'hour': '2016-02-02 22'}",4130.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 16'}",4100.0,3
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 15'}",4079.0,4
"{'city': 'MNB', 'hour': '2016-02-03 00'}",4014.0,2
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 15'}",4000.0,3
"{'city': 'MNB', 'hour': '2016-02-03 01'}",3987.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 16'}",3940.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 15'}",3869.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 13'}",3863.0,4
"{'city': 'Amgalan', 'hour': '2016-02-02 15'}",3832.0,2
"{'city': '100 ail', 'hour': '2016-01-30 21'}",3603.0,8
"{'city': 'Baruun 4 zam', 'hour': '2016-01-31 04'}",3569.0,1
"{'city': 'Bukhiin urguu', 'hour': '2016-01-30 20'}",3559.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 18'}",3546.0,4
"{'city': 'Amgalan', 'hour': '2016-01-31 02'}",3545.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 19'}",3513.0,3
"{'city': 'Baruun 4 zam', 'hour': '2016-01-31 03'}",3500.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-06 18'}",3500.0,3
"{'city': 'Amgalan', 'hour': '2016-01-31 12'}",3494.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 16'}",3494.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 19'}",3477.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 12'}",3468.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-01-31 00'}",3444.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 03'}",3431.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 17'}",3400.0,3
"{'city': 'MNB', 'hour': '2016-02-04 21'}",3384.0,1
"{'city': 'Amgalan', 'hour': '2016-01-31 23'}",3370.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 16'}",3341.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 22'}",3322.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 13'}",3302.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-06 19'}",3300.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 21'}",3291.0,4
"{'city': 'Bukhiin urguu', 'hour': '2016-01-30 15'}",3269.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 10'}",3213.0,4
"{'city': 'MNB', 'hour': '2016-02-03 12'}",3191.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 20'}",3172.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 14'}",3158.0,2
"{'city': 'MNB', 'hour': '2016-01-30 00'}",3142.0,2
"{'city': 'Nisekh', 'hour': '2016-02-20 00'}",3136.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 16'}",3119.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 12'}",3098.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 03'}",3088.0,4
"{'city': 'Amgalan', 'hour': '2016-02-02 21'}",3076.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 12'}",3038.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-01-31 02'}",3017.0,4
"{'city': 'MNB', 'hour': '2016-02-02 09'}",3002.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 01'}",2984.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 00'}",2971.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 11'}",2934.0,4
"{'city': 'Nisekh', 'hour': '2016-02-16 15'}",2904.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 18'}",2900.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 14'}",2900.0,1
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-06 14'}",2900.0,3
"{'city': 'Amgalan', 'hour': '2016-01-30 13'}",2896.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 12'}",2891.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 15'}",2866.0,2
"{'city': 'MNB', 'hour': '2016-02-04 00'}",2836.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-01-30 19'}",2833.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 14'}",2800.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 13'}",2800.0,3
"{'city': 'Amgalan', 'hour': '2016-02-02 22'}",2786.0,2
"{'city': 'MNB', 'hour': '2016-02-03 13'}",2772.0,2
"{'city': 'MNB', 'hour': '2016-02-02 23'}",2741.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 23'}",2725.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 04'}",2700.0,4
"{'city': 'MNB', 'hour': '2016-02-02 11'}",2699.0,2
"{'city': 'Amgalan', 'hour': '2016-02-02 19'}",2688.0,2
"{'city': 'MNB', 'hour': '2016-02-03 02'}",2681.0,2
"{'city': 'MNB', 'hour': '2016-02-02 10'}",2670.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 17'}",2670.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 21'}",2665.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 10'}",2621.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 20'}",2606.0,2
"{'city': 'Amgalan', 'hour': '2016-01-31 11'}",2604.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 05'}",2600.0,3
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 02'}",2600.0,4
"{'city': 'Nisekh', 'hour': '2016-02-16 14'}",2590.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 16'}",2566.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-01-31 01'}",2563.0,4
"{'city': 'MNB', 'hour': '2016-02-03 11'}",2554.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 00'}",2551.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 13'}",2546.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 18'}",2545.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 23'}",2545.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 21'}",2537.0,2
"{'city': 'MNB', 'hour': '2016-02-02 03'}",2533.0,2
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 20'}",2500.0,6
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-06 13'}",2500.0,3
"{'city': 'Amgalan', 'hour': '2016-02-03 00'}",2478.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-02-01 12'}",2475.0,4
"{'city': 'Amgalan', 'hour': '2016-02-02 00'}",2449.0,2
"{'city': '100 ail', 'hour': '2016-01-31 03'}",2434.0,8
"{'city': 'Baruun 4 zam', 'hour': '2016-01-31 01'}",2425.0,4
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-06 21'}",2400.0,3
"{'city': 'Nisekh', 'hour': '2016-02-20 01'}",2400.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 17'}",2400.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-06 20'}",2400.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 21'}",2388.0,4
"{'city': 'Bukhiin urguu', 'hour': '2016-01-29 23'}",2375.0,3
"{'city': 'Bukhiin urguu', 'hour': '2016-02-01 14'}",2363.0,4
"{'city': 'Amgalan', 'hour': '2016-01-30 14'}",2362.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 17'}",2346.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 13'}",2325.0,4
"{'city': '100 ail', 'hour': '2016-02-01 03'}",2309.0,8
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-06 12'}",2300.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-06 01'}",2300.0,6
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-06 15'}",2300.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 03'}",2300.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-09 01'}",2300.0,3
"{'city': 'Nisekh', 'hour': '2016-02-19 21'}",2294.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 22'}",2291.0,4
"{'city': 'Amgalan', 'hour': '2016-02-01 23'}",2290.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 01'}",2271.0,4
"{'city': 'Amgalan', 'hour': '2016-01-30 20'}",2269.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 18'}",2262.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 17'}",2258.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 02'}",2257.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 23'}",2253.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 19'}",2244.0,2
"{'city': 'Amgalan', 'hour': '2016-01-30 22'}",2230.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 11'}",2225.0,2
"{'city': 'Bukhiin urguu', 'hour': '2016-02-01 13'}",2216.0,3
"{'city': 'MNB', 'hour': '2016-02-03 03'}",2214.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 01'}",2200.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-07 15'}",2200.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-08 14'}",2200.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 13'}",2200.0,3
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-06 02'}",2200.0,6
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 19'}",2200.0,3
"{'city': 'Nisekh', 'hour': '2016-02-19 22'}",2199.0,2
"{'city': 'MNB', 'hour': '2016-02-04 13'}",2193.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 18'}",2193.0,2
"{'city': 'Amgalan', 'hour': '2016-02-01 20'}",2166.0,2
"{'city': 'Baruun 4 zam', 'hour': '2016-02-01 04'}",2153.0,4
"{'city': 'MNB', 'hour': '2016-02-03 04'}",2145.0,2
"{'city': 'MNB', 'hour': '2016-02-04 12'}",2138.0,2
"{'city': 'Amgalan', 'hour': '2016-02-03 01'}",2132.0,2
"{'city': 'Amgalan', 'hour': '2016-01-29 23'}",2130.0,1
"{'city': '100 ail', 'hour': '2016-01-30 12'}",2121.0,4
"{'city': 'Baruun 4 zam', 'hour': '2016-01-30 14'}",2116.0,4
"{'city': 'Nisekh', 'hour': '2016-02-16 17'}",2111.0,2
"{'city': 'MNB', 'hour': '2016-01-29 23'}",2103.0,1
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-09 02'}",2100.0,3
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-08 20'}",2100.0,3
"{'city': 'Amgalan', 'hour': '2016-02-02 01'}",2074.0,2
"{'city': 'Nisekh', 'hour': '2016-02-18 00'}",2069.0,2
"{'city': 'Nisekh', 'hour': '2016-02-16 19'}",2052.0,2
"{'city': 'Nisekh', 'hour': '2016-02-17 20'}",2049.0,2
