city,hour,max_value,count
R K Puram, Delhi - DPCC,2016-02-06T19:00:00Z,3300.0,4
Baruun 4 zam,2016-02-01T21:00:00Z,3291.0,4
Bukhiin urguu,2016-01-30T15:00:00Z,3269.0,4
Baruun 4 zam,2016-02-01T10:00:00Z,3213.0,4
MNB,2016-02-03T12:00:00Z,3191.0,2
Amgalan,2016-02-02T20:00:00Z,3172.0,2
Amgalan,2016-02-01T14:00:00Z,3158.0,2
MNB,2016-01-30T00:00:00Z,3142.0,2
Nisekh,2016-02-20T00:00:00Z,3136.0,2
Amgalan,2016-02-01T16:00:00Z,3119.0,2
Amgalan,2016-01-30T12:00:00Z,3098.0,2
Baruun 4 zam,2016-01-30T03:00:00Z,3088.0,4
Amgalan,2016-02-02T21:00:00Z,3076.0,2
Baruun 4 zam,2016-02-01T12:00:00Z,3038.0,4
Baruun 4 zam,2016-01-31T02:00:00Z,3017.0,4
MNB,2016-02-02T09:00:00Z,3002.0,2
Amgalan,2016-01-30T01:00:00Z,2984.0,2
Amgalan,2016-01-30T00:00:00Z,2971.0,2
Baruun 4 zam,2016-02-01T11:00:00Z,2934.0,4
Nisekh,2016-02-16T15:00:00Z,2904.0,2
R K Puram, Delhi - DPCC,2016-02-08T18:00:00Z,2900.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-05T14:00:00Z,2900.0,1
Punjabi Bagh, Delhi - DPCC,2016-02-06T14:00:00Z,2900.0,3
Amgalan,2016-01-30T13:00:00Z,2896.0,2
Amgalan,2016-02-01T12:00:00Z,2891.0,2
Amgalan,2016-02-01T15:00:00Z,2866.0,2
MNB,2016-02-04T00:00:00Z,2836.0,2
Bukhiin urguu,2016-01-30T19:00:00Z,2833.0,4
R K Puram, Delhi - DPCC,2016-02-07T14:00:00Z,2800.0,3
R K Puram, Delhi - DPCC,2016-02-07T13:00:00Z,2800.0,3
Amgalan,2016-02-02T22:00:00Z,2786.0,2
MNB,2016-02-03T13:00:00Z,2772.0,2
MNB,2016-02-02T23:00:00Z,2741.0,2
Amgalan,2016-02-02T23:00:00Z,2725.0,2
Baruun 4 zam,2016-01-30T04:00:00Z,2700.0,4
MNB,2016-02-02T11:00:00Z,2699.0,2
Amgalan,2016-02-02T19:00:00Z,2688.0,2
MNB,2016-02-03T02:00:00Z,2681.0,2
MNB,2016-02-02T10:00:00Z,2670.0,2
Nisekh,2016-02-18T17:00:00Z,2670.0,2
Amgalan,2016-01-30T21:00:00Z,2665.0,2
Amgalan,2016-01-31T10:00:00Z,2621.0,2
Nisekh,2016-02-16T20:00:00Z,2606.0,2
Amgalan,2016-01-31T11:00:00Z,2604.0,2
R K Puram, Delhi - DPCC,2016-02-07T05:00:00Z,2600.0,3
Baruun 4 zam,2016-01-30T02:00:00Z,2600.0,4
Nisekh,2016-02-16T14:00:00Z,2590.0,2
Nisekh,2016-02-16T16:00:00Z,2566.0,2
Bukhiin urguu,2016-01-31T01:00:00Z,2563.0,4
MNB,2016-02-03T11:00:00Z,2554.0,2
Amgalan,2016-02-01T00:00:00Z,2551.0,2
Nisekh,2016-02-16T13:00:00Z,2546.0,2
Amgalan,2016-01-30T18:00:00Z,2545.0,2
Nisekh,2016-02-16T23:00:00Z,2545.0,2
Nisekh,2016-02-16T21:00:00Z,2537.0,2
MNB,2016-02-02T03:00:00Z,2533.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-05T20:00:00Z,2500.0,6
Punjabi Bagh, Delhi - DPCC,2016-02-06T13:00:00Z,2500.0,3
Amgalan,2016-02-03T00:00:00Z,2478.0,2
Bukhiin urguu,2016-02-01T12:00:00Z,2475.0,4
Amgalan,2016-02-02T00:00:00Z,2449.0,2
100 ail,2016-01-31T03:00:00Z,2434.0,8
Baruun 4 zam,2016-01-31T01:00:00Z,2425.0,4
Nisekh,2016-02-20T01:00:00Z,2400.0,2
R K Puram, Delhi - DPCC,2016-02-06T21:00:00Z,2400.0,3
R K Puram, Delhi - DPCC,2016-02-07T17:00:00Z,2400.0,3
R K Puram, Delhi - DPCC,2016-02-06T20:00:00Z,2400.0,2
Baruun 4 zam,2016-01-30T21:00:00Z,2388.0,4
Bukhiin urguu,2016-01-29T23:00:00Z,2375.0,3
Bukhiin urguu,2016-02-01T14:00:00Z,2363.0,4
Amgalan,2016-01-30T14:00:00Z,2362.0,2
Amgalan,2016-02-01T17:00:00Z,2346.0,2
Baruun 4 zam,2016-01-30T13:00:00Z,2325.0,4
100 ail,2016-02-01T03:00:00Z,2309.0,8
Punjabi Bagh, Delhi - DPCC,2016-02-06T12:00:00Z,2300.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T01:00:00Z,2300.0,6
R K Puram, Delhi - DPCC,2016-02-08T03:00:00Z,2300.0,3
R K Puram, Delhi - DPCC,2016-02-09T01:00:00Z,2300.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T15:00:00Z,2300.0,3
Nisekh,2016-02-19T21:00:00Z,2294.0,2
Baruun 4 zam,2016-01-30T22:00:00Z,2291.0,4
Amgalan,2016-02-01T23:00:00Z,2290.0,2
Baruun 4 zam,2016-01-30T01:00:00Z,2271.0,4
Amgalan,2016-01-30T20:00:00Z,2269.0,2
Amgalan,2016-02-01T18:00:00Z,2262.0,2
Nisekh,2016-02-17T17:00:00Z,2258.0,2
Amgalan,2016-01-30T02:00:00Z,2257.0,2
Amgalan,2016-01-30T23:00:00Z,2253.0,2
Amgalan,2016-01-30T19:00:00Z,2244.0,2
Amgalan,2016-01-30T22:00:00Z,2230.0,2
Amgalan,2016-02-01T11:00:00Z,2225.0,2
Bukhiin urguu,2016-02-01T13:00:00Z,2216.0,3
MNB,2016-02-03T03:00:00Z,2214.0,2
R K Puram, Delhi - DPCC,2016-02-08T13:00:00Z,2200.0,3
R K Puram, Delhi - DPCC,2016-02-08T01:00:00Z,2200.0,3
R K Puram, Delhi - DPCC,2016-02-08T19:00:00Z,2200.0,3
R K Puram, Delhi - DPCC,2016-02-07T15:00:00Z,2200.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-08T14:00:00Z,2200.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T02:00:00Z,2200.0,6
Nisekh,2016-02-19T22:00:00Z,2199.0,2
Nisekh,2016-02-16T18:00:00Z,2193.0,2
MNB,2016-02-04T13:00:00Z,2193.0,2
Amgalan,2016-02-01T20:00:00Z,2166.0,2
Baruun 4 zam,2016-02-01T04:00:00Z,2153.0,4
MNB,2016-02-03T04:00:00Z,2145.0,2
MNB,2016-02-04T12:00:00Z,2138.0,2
Amgalan,2016-02-03T01:00:00Z,2132.0,2
Amgalan,2016-01-29T23:00:00Z,2130.0,1
100 ail,2016-01-30T12:00:00Z,2121.0,4
Baruun 4 zam,2016-01-30T14:00:00Z,2116.0,4
Nisekh,2016-02-16T17:00:00Z,2111.0,2
MNB,2016-01-29T23:00:00Z,2103.0,1
R K Puram, Delhi - DPCC,2016-02-09T02:00:00Z,2100.0,3
R K Puram, Delhi - DPCC,2016-02-08T20:00:00Z,2100.0,3
Amgalan,2016-02-02T01:00:00Z,2074.0,2
Nisekh,2016-02-18T00:00:00Z,2069.0,2
Nisekh,2016-02-16T19:00:00Z,2052.0,2
Nisekh,2016-02-17T20:00:00Z,2049.0,2
Nisekh,2016-02-18T20:00:00Z,2043.0,2
Nisekh,2016-02-17T19:00:00Z,2041.0,2
Amgalan,2016-01-31T08:00:00Z,2040.0,2
Nisekh,2016-02-17T18:00:00Z,2037.0,2
Baruun 4 zam,2016-01-30T00:00:00Z,2025.0,4
Baruun 4 zam,2016-01-30T23:00:00Z,2022.0,4
MNB,2016-02-03T23:00:00Z,2021.0,2
Nisekh,2016-02-18T19:00:00Z,2010.0,2
Amgalan,2016-02-03T02:00:00Z,2002.0,2
R K Puram, Delhi - DPCC,2016-02-07T04:00:00Z,2000.0,1
R K Puram, Delhi - DPCC,2016-02-07T16:00:00Z,2000.0,3
R K Puram, Delhi - DPCC,2016-02-07T19:00:00Z,2000.0,3
R K Puram, Delhi - DPCC,2016-02-07T06:00:00Z,2000.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-08T13:00:00Z,2000.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T13:00:00Z,2000.0,3
MNB,2016-02-04T14:00:00Z,1988.0,2
Amgalan,2016-02-01T19:00:00Z,1974.0,2
100 ail,2016-01-30T10:00:00Z,1967.0,4
MNB,2016-02-04T02:00:00Z,1966.0,2
